TDS[mg/l],Sal[mg/l],D.O.[mg/L],ORP[ppm],EC[mg/l]
95,89.3,0.72,0.0622,1.91
81,75.5,0.98,0.0959,1.62
135,130,0.91,0.1009,2.71
130,120,0.95,0.1528,2.6
123,120,0.07,0.1213,2.54
123,120,0.01,0.1371,2.47
123,110,0.04,-0.0183,2.46
120,110,0.11,0.0573,2.38
69,60,0,0.0946,2.37
114,110,0.09,0.1178,2.46
111,100,0.07,0.1275,2.4
104,97.2,0.07,0.1149,1.39
91,85,0.08,0.1145,2.27
67,62.3,0,0.12,2.23
59,54,0.01,0.1258,2.09
58,53.1,0.04,0.1292,1.83
80,74.3,0,0.1339,1.35
80,74.3,0.01,0.137,1.17
80,74.1,0,0.1376,1.15
80,70,0.02,0.146,1.6
81,80,0.01,0.1468,1.6
82,80,0.01,0.1457,1.59
,,,0.1473,1.59
,,,0.146,1.62
,,,0.1478,1.65
